date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:39	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:39%20GMT	https://dreamgf-ai.com/go/kupid	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/kupid	(from https://dreamgf-ai.com/)
09:10:39	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:40%20GMT	https://dreamgf-ai.com/go/promptchan	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/promptchan	(from https://dreamgf-ai.com/)
09:10:39	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:40%20GMT	https://dreamgf-ai.com/go/gptgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/gptgf	(from https://dreamgf-ai.com/)
09:10:39	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:40%20GMT	https://dreamgf-ai.com/go/secrets	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/secrets	(from https://dreamgf-ai.com/)
09:10:40	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:40%20GMT	https://dreamgf-ai.com/go/kupid	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/kupid	(from https://dreamgf-ai.com/)
09:10:40	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:41%20GMT	https://dreamgf-ai.com/go/gptgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/gptgf	(from https://dreamgf-ai.com/)
09:10:40	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:41%20GMT	https://dreamgf-ai.com/go/secrets	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/secrets	(from https://dreamgf-ai.com/)
09:10:40	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:41%20GMT	https://dreamgf-ai.com/go/kupid	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/kupid	(from https://dreamgf-ai.com/)
09:10:40	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:41%20GMT	https://dreamgf-ai.com/go/promptchan	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/promptchan	(from https://dreamgf-ai.com/)
09:10:41	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:41%20GMT	https://dreamgf-ai.com/go/gptgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/gptgf	(from https://dreamgf-ai.com/)
09:10:41	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.27.delayed	(from https://dreamgf-ai.com/)
09:10:41	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2030%20Apr%202026%2012:10:42%20GMT	https://dreamgf-ai.com/privacy.html	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/privacy.html	(from https://dreamgf-ai.com/)
09:10:41	4301/4301	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2012:10:42%20GMT	https://dreamgf-ai.com/privacy	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/privacy.html	(from https://dreamgf-ai.com/)
